# Constructed from biom file																																
#OTU ID	Mouse22.KO.week6	Mouse26.KO.week6	Mouse29.KO.week6	Mouse35.KO.week6	Mouse44.KO.week6	Mouse4.KO.week12	Mouse5.KO.week12	Mouse12.KO.week12	Mouse13.KO.week12	Mouse16.KO.week12	Mouse18.KO.week12	Mouse22.KO.week12	Mouse26.KO.week12	Mouse27.KO.week12	Mouse29.KO.week12	Mouse23.WT.week6	Mouse33.WT.week6	Mouse34.WT.week6	Mouse42.WT.week6	Mouse43.WT.week6	Mouse2.WT.week12	Mouse3.WT.week12	Mouse14.WT.week12	Mouse15.WT.week12	Mouse17.WT.week12	Mouse23.WT.week12	Mouse28.WT.week12	Mouse33.WT.week12	Mouse34.WT.week12	Mouse35.WT.week12	Negative.control1	Negative.control2
5783a18abe7618bc6aa990476d0a8588	2760	2203	1348	2067	3447	5244	6524	18101	14624	21869	19930	13426	1776	21932	420	3646	2071	2936	10139	2986	1762	5492	12617	8045	20024	7535	17662	715	3021	1174	0	0
bc4d1d667b5685e5b610b65a51ad9f80	186	710	3496	8427	5889	979	1627	1537	1768	1064	2629	809	1813	1458	2221	237	7564	5023	14051	4280	3069	559	2216	2862	2222	1409	1224	1422	2688	6339	0	0
bc155870f433323766c86ae536223b58	436	1602	4686	427	999	276	1276	1664	1768	1029	2084	1111	3624	1374	978	238	716	240	2149	604	3642	706	2455	3210	2775	844	1053	333	621	2088	0	0
2fe7ecfddf7d000dc3bc2740ef54b41b	412	2147	4647	329	547	300	1025	1013	1586	691	1844	835	2573	1164	909	0	481	247	1611	469	3060	559	1953	2669	1992	651	1160	270	746	1879	0	0
5d3f753f763b41567d9a850fda944f83	456	311	0	181	390	958	720	2500	2048	3274	2627	1790	177	1705	0	490	0	359	1416	276	280	479	1313	1123	2411	933	2512	0	210	0	0	0
cae3f7c03861aaf0f2e83d56a831b4f5	34	292	113	1475	137	627	122	59	80	11	93	4572	216	25	0	119	1018	1645	318	10	45	38	65	16	153	5010	96	2599	2874	3475	0	0
dbd0a66407d8acde6641775c4dc265e3	439	377	130	140	515	571	452	1834	1305	2003	1941	1000	220	1337	104	205	245	263	1070	367	214	845	1173	891	1790	508	1931	86	0	125	0	0
fc7f1e0df747c1478f016714dc7562bd	36	765	551	0	0	61	3002	385	647	153	523	404	1285	461	69	0	0	12	0	0	217	224	1050	966	362	922	377	0	0	0	0	0
9871af0011653ad244bd3967f1c99716	0	0	8	786	0	23	0	92	178	71	104	0	0	0	1325	0	659	798	0	0	72	0	271	381	378	0	0	1590	1025	1575	0	0
beb20ef494d6232af88af5f79dea8650	247	257	343	36	249	1387	134	0	0	0	0	0	100	0	38	2989	87	296	871	87	22	43	0	0	0	0	0	44	323	92	28	0
af5285c932b171bf7c92fa42313031a1	0	0	151	894	70	0	0	0	0	77	151	0	0	0	317	0	329	702	93	16	0	0	0	0	417	0	0	617	568	1465	0	0
4dbbc2c7f98a6da65a45d1cbbcf059db	0	38	0	313	39	188	40	0	0	0	0	766	62	0	0	0	282	394	0	0	0	0	0	0	0	1154	0	652	621	999	0	0
9bc51a39247c624f567dcdcf15f86230	0	82	0	348	0	108	30	0	0	0	0	978	0	0	11	0	244	372	35	0	0	0	0	0	0	1092	28	633	796	788	0	0
2c38d9d5742202da694d4721608fd637	1191	0	108	0	81	182	0	176	171	0	87	31	234	46	20	967	0	0	211	0	0	1132	18	93	125	0	47	104	23	60	266	0
fa90fe7d42a44bc69a2e097ee933d43b	35	128	696	39	456	53	115	29	30	93	400	103	307	19	189	0	0	0	887	36	32	0	19	0	456	48	28	0	160	281	0	0
b94a8e609e84f35c93506768aac4ec3f	185	112	49	0	105	122	0	0	0	23	49	43	43	0	0	869	42	59	188	0	37	969	0	73	26	41	0	16	0	48	1183	259
8974b6fc7732c11762e09d4b0466c9d5	0	470	0	0	0	24	667	198	304	67	141	0	165	180	878	0	0	0	0	0	193	0	476	432	24	0	64	207	0	26	0	0
78b2826a0945160d3d4c6e3b1b8d48e6	0	131	233	0	0	37	962	135	202	47	135	133	229	195	0	0	0	0	0	0	93	45	506	237	82	198	120	0	0	0	0	0
937e2eccb805c10a4d8cf8de92e7d5ed	0	279	0	0	0	29	556	103	192	56	106	0	89	107	1017	0	0	0	0	0	126	0	310	378	68	0	30	218	0	11	0	0
ad7e9916a0ef7f325c607304b6fb4290	0	123	81	0	0	0	1026	143	121	56	110	204	199	174	31	0	0	0	0	0	73	170	325	137	55	197	96	0	0	0	0	0
d127837f1b6ab3f7bdad8d8d125f0b08	146	5	7	229	0	16	81	0	57	14	66	25	0	293	0	0	58	2114	0	6	13	0	0	8	37	32	42	10	0	0	0	0
c0c4c0d93a725778ecd357e51931e205	46	19	0	34	101	76	8	13	64	41	61	39	211	0	70	262	33	33	108	130	276	114	294	167	15	81	41	184	442	169	0	0
7ef67a902257da24370de0be1fcb53ce	67	0	612	27	248	249	0	0	0	138	205	55	271	0	128	0	0	10	382	52	47	0	0	105	227	0	0	19	59	127	0	0
a3997fbf29cbe083b41e4ed2a8750d1f	59	10	24	10	44	81	121	199	137	266	306	231	28	249	0	46	0	74	175	0	0	14	236	129	244	125	57	0	50	21	0	0
cc2ba8f207d7cf278abd87c0aada1036	10	0	239	422	264	0	0	0	16	0	71	0	552	0	43	0	131	136	286	14	0	40	12	0	0	0	0	0	154	92	0	0
b29c8550b6743108ebda7f81af92a068	162	80	70	0	129	318	0	0	0	0	0	0	44	0	6	829	0	0	0	0	0	179	0	0	0	0	24	0	54	38	209	82
668bab9cbda8f6ed9d666ada39af2bf8	0	0	91	0	0	0	512	0	160	0	94	98	242	133	0	0	0	0	0	0	79	0	208	128	64	199	130	0	0	0	0	0
34d22761f25238447eab18d256d7f2a0	0	0	0	316	54	0	0	0	0	0	0	0	0	0	129	0	117	252	0	0	0	0	0	0	118	0	0	198	259	527	0	0
d4b09c401d72c92aede08ef5ad2fe950	0	110	0	0	0	0	332	81	86	59	53	0	47	84	464	0	0	0	0	0	97	0	214	208	24	0	0	64	0	0	0	0
af0eb01677fa4bfba5e33c51bcb3a466	0	83	148	0	0	0	459	185	109	0	86	65	161	50	0	0	0	0	0	0	0	59	181	111	55	109	0	0	0	0	0	0
541d57fa8de195516821202e9510b824	0	116	12	0	0	0	228	0	94	0	0	0	42	74	436	0	0	0	0	0	79	0	156	155	40	0	0	143	0	0	0	0
282aeee1fab939e2766ef87ff956d5d9	0	127	0	0	0	0	227	39	70	0	39	0	54	46	534	0	0	0	0	0	55	9	122	113	28	0	0	103	0	0	0	0
1d2a1aa1f1b35a0fe28ccd83c4ff4146	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	100	0	0	174	249	465	0	0
e2cc610be56f9e9c214379764b31849f	0	66	58	0	0	0	387	0	66	28	60	0	212	92	0	0	0	0	0	0	35	71	132	51	43	50	58	0	0	0	0	0
b29f783d4b3d6096db720bab29702370	0	0	974	0	43	107	40	0	0	0	49	23	44	0	0	0	20	0	0	0	0	0	0	30	43	34	0	0	0	0	0	0
3d8597c44bd895ca796df2b345a1f448	0	159	140	0	0	0	361	0	81	15	19	0	38	106	0	0	0	0	0	0	28	26	70	125	18	138	35	0	0	0	0	0
daaaef75203e565e99ae0771a9444f21	48	52	0	0	0	0	0	0	0	0	0	69	38	0	0	364	0	0	0	0	0	165	0	0	64	0	61	0	0	0	263	200
bec694d3e261175fe3daa40372a461e9	0	9	69	111	260	0	3	0	5	20	29	26	233	0	71	0	29	61	130	0	0	0	6	0	0	0	0	41	81	127	0	0
0a1932c35dd6ad1419eb6887e2938ad8	0	145	0	0	0	0	215	0	78	0	0	0	18	30	361	0	0	0	0	0	91	0	96	108	19	0	0	134	0	11	0	0
f2c0663593e77b0027f2ef6170acf840	0	73	169	228	39	0	0	0	0	0	34	0	0	0	67	0	27	329	0	37	0	0	0	0	121	0	0	30	83	0	0	0
f5b450efe0c8dd7e812242bfbc3162fd	0	0	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	89	0	0	0
a7ba36b8921f03c66ebe8da9881ac069	0	0	0	177	62	0	0	0	0	0	0	0	215	0	0	0	51	359	155	0	0	0	0	0	72	0	0	13	0	16	0	0
9442d63bca0686ec8c4bf880900784fc	0	188	0	0	0	40	219	33	93	43	33	0	50	36	0	0	0	0	0	0	57	0	90	177	18	0	0	0	0	0	0	0
944d8483fea0f533a53f347a86cda618	684	0	0	0	12	132	0	0	0	0	0	31	25	0	0	0	0	12	33	0	0	0	0	0	0	0	0	9	15	24	0	0
7b2ded7aabeca4fc3fadca18f5922301	0	27	88	0	0	42	35	0	0	41	70	54	44	49	152	0	0	0	0	0	0	0	0	0	77	24	249	0	0	0	0	0
850c004c6b47045e6cf0da70fdeb59f7	0	886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0b1b7cae4e7747938e8e24688196bf26	0	0	0	282	0	0	0	0	0	0	15	0	0	0	0	0	26	196	0	0	0	0	0	0	22	0	0	67	104	124	0	0
4ba550f0538f8683690c961543512fb4	0	0	635	0	0	0	0	0	0	40	0	0	0	0	8	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
95062fb27342fb76b5d98c2d8ae1f138	14	0	75	0	0	0	27	0	0	0	56	0	52	63	149	0	0	0	0	0	0	0	0	0	49	31	134	0	21	0	0	0
5040868dccc4bffac80996af0a7edc83	0	278	21	0	0	0	59	6	0	15	32	0	8	64	10	0	0	0	0	0	43	120	0	0	0	0	0	0	0	0	0	0
51d47dc482c628df1522f64697990aca	404	0	37	0	0	78	0	0	0	0	0	0	38	0	0	0	0	0	66	0	0	0	0	0	0	0	0	17	7	0	0	0
c8ca98a9a1e578e2178c2beadd1ad012	5	105	0	0	0	141	0	74	38	5	88	10	0	13	0	0	0	0	0	63	0	0	46	0	0	24	0	0	0	0	0	0
a79587bc77fcfacd167c40fbf8e81394	0	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0
d478446c60780c126a49033773890d89	0	0	52	119	122	58	0	0	0	0	0	0	69	0	17	0	20	33	0	0	0	0	0	0	21	0	0	0	94	0	0	0
a8f290bcf920d1f713c7c910830341c9	0	0	0	81	49	0	0	0	0	48	0	0	61	0	15	0	0	278	0	0	0	0	0	0	0	0	0	24	0	36	0	0
2c9ff2bd6f44db72d2a629d2ff74b306	86	36	68	14	0	78	15	0	0	0	15	0	12	17	19	27	0	37	39	0	13	15	0	0	0	0	0	17	33	28	0	0
34e7c79d928057bd30741cb376f40f29	0	0	68	145	82	0	0	0	0	0	0	0	111	0	0	0	33	59	0	0	0	0	0	0	0	0	0	35	0	0	0	0
509f9d317957f86cdbcd4d4cfb88560d	0	0	343	0	19	21	11	0	0	0	0	0	14	0	8	27	0	0	0	0	0	20	15	0	0	18	0	0	0	0	0	0
483181f68a1997d8d691fc99eb4d8919	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	0
f3f7e36654b0edfaa6a9c66ac7878eaa	0	0	0	84	33	0	0	0	0	22	0	0	0	0	0	0	37	55	70	0	0	0	0	0	45	0	0	0	0	46	0	0
d3837b5f22cb96983363b9f716c877cf	0	0	0	0	214	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154d85ac8cdca8f3de160552565b0907	0	0	0	0	79	36	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	176	0	0	0
ac8546657022929b8344abf5883092ad	0	0	0	89	0	0	0	0	0	20	0	0	0	0	0	0	0	109	28	0	0	0	0	0	0	0	0	0	51	72	0	0
539989173f6def68a4147bc8944a83c2	0	0	0	0	0	0	0	0	0	26	34	0	25	26	83	0	0	0	0	0	0	28	0	0	0	15	124	0	0	0	0	0
b5a1790a016ebf58cd078a0402c96bb1	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	147	0	42	0	0	0	30	16	0	0	0	0	0	0	0	34	49
43a45c69b577534c4a388b8a8a3b052d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fbcfee73669f1695f1990ce72f1d5e75	0	70	0	0	0	30	0	0	0	0	0	22	0	0	103	0	0	0	0	0	0	0	0	0	0	14	26	0	70	0	0	0
ea60313af371ef09618438a3b908b236	30	5	0	8	4	33	0	0	0	0	19	28	0	0	0	0	0	0	0	0	0	67	0	3	0	0	60	0	22	0	52	0
e17d651139e98720e232b1937f793bad	0	0	0	0	91	0	0	0	14	0	15	0	0	7	0	0	0	129	0	0	0	0	0	0	0	0	0	28	31	15	0	0
57fdb23b739ab3c0cc9a8614d2c6db88	0	111	14	0	0	0	82	0	0	0	26	0	15	43	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
43139c691d81b8526fb9a0db786f6a04	0	0	0	26	91	0	0	0	0	0	0	0	67	0	15	0	15	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cb6db2e2b574e0b62dc7b37a017de2cf	0	0	106	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0
1700ef56d944efae04458d999ba8c829	54	51	0	0	0	0	0	0	0	0	0	0	0	64	34	0	0	0	0	0	0	0	0	0	0	46	27	0	0	0	0	0
51889531872d89979fa584b8fd0480b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	129	59
27325c30c47914898ef234447825ab83	0	0	0	0	0	0	47	0	77	0	0	20	22	0	29	0	0	0	0	0	42	0	0	0	0	14	14	0	0	0	0	0
28791a195fb16e432f328fc38c217a16	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	101	0	0	48	0	0	27	0	0	0	0
1b7e69619a9fc6512f278bbd3081f4a2	7	29	0	0	0	0	30	0	21	23	0	0	0	13	0	0	0	0	0	0	30	0	38	0	11	0	57	0	0	0	0	0
8f4a939102f99b281f7a5ff184ceeb7e	0	16	0	0	0	58	0	0	0	0	0	0	7	0	0	113	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0
db630eaa2a549fc281839a80701ad980	0	0	6	0	0	0	21	0	5	0	26	0	114	9	0	0	0	0	39	19	0	0	0	0	15	0	0	0	0	0	0	0
b53eee213e7fbc88e1a7f13b9c0eb243	0	0	69	0	0	0	0	0	0	0	35	0	0	0	0	0	48	86	0	15	0	0	0	0	0	0	0	0	0	0	0	0
8268fd2dcf6a71917764b773040f4a6d	0	0	32	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	48	0	0	0	0	144	0	0	0	0	0	0	0
f67c3502bd58ba64e9f6c2267b69e960	0	25	7	0	0	0	30	58	14	0	0	0	0	0	46	0	0	0	0	0	22	0	18	3	21	0	0	0	0	0	0	0
21305bd3d7de94d5c9f7118f34a69250	39	91	14	0	0	5	0	0	0	0	14	0	12	0	0	0	11	10	0	0	0	0	0	0	13	0	0	0	16	14	0	0
782259adaeb2f134cfbf0a85afe1d96d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0
75195c7c5253e5a13cb2176aa9f782c2	35	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	32	0	0	0	0	104
290a175fb56298ad790c50f2d11de176	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96d643c74f8cfda471bbe6d393476b04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0
e83a06b2d2aff786d4504406b4036161	134	0	15	0	0	38	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bbd9195eb175dbfe0bbe51314886d77c	122	16	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03745bc008702efabc070935ea54d389	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ac92b6a7f8de3262b62c051421fb01b9	0	0	0	0	40	0	0	0	0	0	8	0	35	0	0	0	0	96	27	0	0	0	0	0	0	0	0	0	0	0	0	0
76b1ac31579a3f7b361e9af5712ded49	0	0	0	43	34	0	0	0	0	0	11	0	44	0	38	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fe4c5826417336c2577bfff2e471d150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0
ec6c3b3e64b1078356f28dea787d6094	12	0	0	0	0	0	0	0	25	0	7	0	0	14	54	0	0	0	0	0	29	0	30	0	0	12	20	0	0	0	0	0
c94d69f31fc8d87ec490d4cfd515f55a	0	32	0	0	0	0	49	0	0	0	11	0	56	0	0	0	0	0	0	14	0	0	0	0	40	0	0	0	0	0	0	0
d423a4bbb2eabcb477819739672756cc	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	30	109	41	0	0	0	0	0	0	0	0	0	0	0	0	0
d5e9ebc22ca9b62b1fffe7782e365747	0	159	0	0	0	0	32	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
469239a0937c3e8d1b0ab37c2913e061	0	0	16	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	33	47	0	0	0	0	27	0	0	0	0	0
01a485bd946b59b182009c92789e52f9	0	25	14	0	14	0	0	22	11	0	0	0	0	0	0	0	0	0	0	18	0	0	39	18	33	0	0	0	0	0	0	0
80dc7feab12dd3c7595c00ad95316a6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0
4e27ee3e2add0f2108b9274ff24ffaaf	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0
4279bd2f5f245c6e0a5d0420b20e1291	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	32	0	0	0	0	0	0	48	0	0	0	0	67	0	0
842729d0c73a0e276c22067d98067374	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
539869c80f1953ffa410a09326827371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0
35a00bfbab576eb2b19f3b0a044f41f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dd2fee3b558a3d2df4a0ccb8ef4bd976	0	0	141	0	20	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fa7c10d2093f94c8bdbb1a4b9cb7360b	0	0	0	0	0	0	0	0	0	0	0	31	42	0	0	0	0	0	44	0	0	47	0	0	0	0	0	0	0	0	0	0
54eab4292a0f412308a00bc3822b72d4	0	0	0	0	0	0	0	0	0	0	0	0	103	0	34	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
