Sample,Reads,Mouse,Genotype,Age,Cage,Breeding
Mouse3.WT.week12.cage1.breeding2,181668,Mouse3,WT,week12,cage1,breeding2
Mouse18.KO.week12.cage3.breeding4,176972,Mouse18,KO,week12,cage3,breeding4
Mouse23.WT.week6.cage4.breeding2,176464,Mouse23,WT,week6,cage4,breeding2
Mouse42.WT.week6.cage8.breeding3,175767,Mouse42,WT,week6,cage8,breeding3
Mouse12.KO.week12.cage2.breeding3,174810,Mouse12,KO,week12,cage2,breeding3
Mouse23.WT.week12.cage4.breeding2,172121,Mouse23,WT,week12,cage4,breeding2
Mouse15.WT.week12.cage2.breeding3,172035,Mouse15,WT,week12,cage2,breeding3
Mouse17.WT.week12.cage3.breeding4,171881,Mouse17,WT,week12,cage3,breeding4
Mouse27.KO.week12.cage1.breeding2,171527,Mouse27,KO,week12,cage1,breeding2
Mouse16.KO.week12.cage3.breeding4,164731,Mouse16,KO,week12,cage3,breeding4
Mouse13.KO.week12.cage2.breeding3,164452,Mouse13,KO,week12,cage2,breeding3
Mouse35.WT.week12.cage7.breeding2,162367,Mouse35,WT,week12,cage7,breeding2
Mouse28.WT.week12.cage1.breeding2,161497,Mouse28,WT,week12,cage1,breeding2
Mouse26.KO.week6.cage5.breeding4,161217,Mouse26,KO,week6,cage5,breeding4
Mouse14.WT.week12.cage2.breeding3,156655,Mouse14,WT,week12,cage2,breeding3
Mouse43.WT.week6.cage8.breeding3,155076,Mouse43,WT,week6,cage8,breeding3
Mouse22.KO.week12.cage4.breeding2,152826,Mouse22,KO,week12,cage4,breeding2
Mouse35.KO.week6.cage7.breeding2,152678,Mouse35,KO,week6,cage7,breeding2
Mouse5.KO.week12.cage1.breeding2,151068,Mouse5,KO,week12,cage1,breeding2
Mouse4.KO.week12.cage1.breeding2,146700,Mouse4,KO,week12,cage1,breeding2
Mouse29.KO.week6.cage6.breeding3,146450,Mouse29,KO,week6,cage6,breeding3
Mouse26.KO.week12.cage5.breeding4,144383,Mouse26,KO,week12,cage5,breeding4
Mouse2.WT.week12.cage2.breeding3,144093,Mouse2,WT,week12,cage2,breeding3
Mouse33.WT.week12.cage7.breeding2,142257,Mouse33,WT,week12,cage7,breeding2
Mouse33.WT.week6.cage7.breeding2,137651,Mouse33,WT,week6,cage7,breeding2
Mouse44.KO.week6.cage8.breeding3,136797,Mouse44,KO,week6,cage8,breeding3
Mouse34.WT.week12.cage7.breeding2,136617,Mouse34,WT,week12,cage7,breeding2
Mouse34.WT.week6.cage7.breeding2,133495,Mouse34,WT,week6,cage7,breeding2
Mouse29.KO.week12.cage6.breeding3,113617,Mouse29,KO,week12,cage6,breeding3
Mouse22.KO.week6.cage4.breeding2,102563,Mouse22,KO,week6,cage4,breeding2
negative.control2,39947,,negative,,,
negative.control1,27955,,negative,,,